2.243023910905944624486046894612033189037431963726066174314234737398558924877386208552450705683918268e42	1.445906314847688515556567504177846021177888602635095870282111141564078625277171585631661685611009014e-42
1.938050376516730050071967935567159304088624748468054981815693971334760435477507178795714741963297269e42	1.261565004913976022025504999717322151581657688210682609481812055235881555451516430487410901315937142e-42
1.709549518963096103462974161434659526718612092190998477146973511378047551860529970353364568749675128e42	1.27316208230947155638633429509429959648442797426169153450203644289684316510031011893323359735304675e-42
1.538413791793169031161857906282569825535302157350261522263575406968986180541749551923571073725793405e42	1.342854968249656099473197119626287364897188895054687217249731309574839800121187594757429641383823004e-42
1.406686270690855147648419904729104060862210068685064382462577924713891990235492865326324592177064692e42	1.430323744324479072455054087486926476318804159455411586125799786366894481482254912724147743300342901e-42
1.302140685831846468674038994664767233555267576411853786257787440672866023134997877584424583601482263e42	1.522132530440357358269401501727690941286026801305416568153912178522960574694556698501781318756623617e-42
1.216897091055979158992589769205059931838169738220432263538277716856629895333952761183018120001246955e42	1.613437255390286079166847297091812629114786381535332339499540062973020227823669005707481580364032267e-42
1.145810771186972224102271839703632245284515249325564916399405217532532812364507345221542689917393794e42	1.702458939264130291647452208357755349576940197127654644687385752885610399984131466478360471538413386e-42
1.085420836546535714520454489240771656611575048914260403919137711553490427570238670553656737880433152e42	1.788605604176970093153329395750221973035471003605380813292906906931182711979047516078940282415403816e-42
1.033323349429088806021519814214412819545181727219652396540460964400858979984253666270277296005850658e42	1.871768418053146896118937507024511557434050309468713113676740766925591282946698974194731597732747525e-42
9.877980381741567409370060817906211677533373391166157988391774203676856690469589095304551619721349605e41	1.952036963984346329179072576106378166377147796228517495375623096176628742493614078593194517372056685e-42
9.475807848844489305766752190734174602191357896681996990259467770733564272217716468305819432998918049e41	2.029577599230470554682758211190630399556792426264678372114669592407334402309202424843561217823987559e-42
9.117207982505218397848429301491224608299348357178110995650624348847713632668466006565524084530023889e41	2.10457981761551488379686389467250428990018592813827677012940008282840439446150750899864435980900364e-42
8.794882354047546077577063960648125249822277711053694360727492867441236854001244750602423863618032658e41	2.17723251189834606091251544686859213735796613496383695466524577005365886910409939515422430276289463e-42
8.503127561362862022313727211636832655968264827077644494504121438548421278327053277307719418919444196e41	2.247713886374468053373426788465721704930060813218455400262354463984313462898797216962356143205100355e-42
8.237415924448095420257831340129195179834487495638561725112543659517789658329139762089159788856783261e41	2.316187735430951257350881360718217086069428619633404870520178239838710931872291293286611300740402558e-42
7.99410265741938953980076289967024958958437984945443461253796080287204287275525506493625970862280589e41	2.382802694633457764542356289435223763451865810204988425792229515179860144863436045952217435577026332e-42
7.770217061916834905671504715130595624771732719177284850614439848636476964439061102399580474287095908e41	2.447692839703519310145222138648665067684633984154121690717081165936389124650106273728312570336872799e-42
7.56331081253861115929620279214318371635637850069108670360967077421995940396764895889108711462325134e41	2.510978843606209097514148197129929271992193634368401962795464440868946591905816409169932697210891839e-42
7.371345840815645072555388780613395320379639172420116825127490399494166882506054662265148408513734943e41	2.572769307710425827122028551543614436727237176129029936636977113933011616215726245111367451088165519e-42
7.192610202033151192660117330673500230585450241772895749028922059981768683862300763439221798888749164e41	2.633162084326070786164455756476021395716366107460813861597694724362628193979081419792087131571122086e-42
7.025654055555810452759656869662613028813858267586934264296565797494736398770774081652653628168242129e41	2.692245508995700547677272930443513588538103750478694011865123260203495026212522815944173413111079561e-42
6.869240328335044023222399967536691127562974216608938638172998884372361791748681495278189914829852039e41	2.750099511655909580943217696391951484296003185037680321232393679038405614039652939905151106076834245e-42
6.722306250558251090390825760544557979769999202503893885025455331628912185295543205905428352409825098e41	2.806796600831322710186860909313534780859335800102611572959831488869740342280829911997274895825609707e-42
6.583933047026283164677669433631928343202182730671126331634235909436300102037921004754825328755123836e41	2.862402726839310303664207721046031066222233797218822681682629378797928738693985573627280035577575291e-42
6.453321820231148065529931280241465452129560334988436409101029809775694471361405353077992662581611345e41	2.916978034983069571890653223018267195970707959129316846049971993743640215233580477578153901079702906e-42
6.329774186271457946689512785268475184382969567447509425980736980180842240324463857849907771902177639e41	2.970577521244688065431152046811191428771266354800626962639557355779340178518290581436351915761725425e-42
6.212676596565431125509711222347549087871102947425157358268830607194668124108260327739090538158479483e41	3.023251602820725934515259400686708547663045827377940257038173100046313688329667880915048877874657464e-42
6.101487545073959142485708343989960397102827469879868314807701416417800903490226322346919551600647386e41	3.075046614897987825287427409196016562073997074611008170293245214699803706781164813996214178941071484e-42
5.995727054482291591125097042708861757456297123200017422407742322466403189014443008147612415634446805e41	3.126005243829604176503014372989425249260140007508914505428307272372990749269792975914937468746635172e-42
5.894967977111235220644012053778869164580045957013581957919935221358173149437005262667711998890229862e41	3.176166905586402026807025200431640832228721971873731019841035386947275879012214625130881793300302412e-42
5.798828752001839671393817572079350313059436957251874035505361833748665716792795676030812433074017788e41	3.225568077143461412799044567075361065864941551385325230785306286980117921494456085105909523679655367e-42
5.706967338864491883072070268889092975403352715249662768103177152614938235201858311213139288492226716e41	3.274242587366716074389696820694836162362554244774377624108259859203125260553515381770796318316863717e-42
5.619076109569834948248092206987522462779653105124437439576133931851428493730654249675763478214092006e41	3.322221873004059739263086203916857440544886410699168851301126388744852736437672982093833215665955527e-42
5.534877523665446754932088062760198951928770593672568199362243302721836334479161148364130103873428973e41	3.369535204556786110106728010433644869446257126774700816552659106963155746056212026716318067238887953e-42
5.454120449669815440969500981527757479238647367868534491441079300947287766362276043982968704879763598e41	3.416209886099230174190657951639664935399370500273333540489072812281202493511061626598643831115173622e-42
